Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,D'AQUINO IND E COM DE MOVEIS HOSPITALARES EIRELI - EPP,434000,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,SOLUCAO PLANEJAMENTO E COMERCIO LTDA - EPP,40725,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,CONKAST EQUIPAMENTOS TECNOLOGICOS LTDA ME,219500,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,SAUDE E COMPANHIA DISTRIBUIDORA LTDA - EPP,93600,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,VENTTO TECNOLOGIA E SAUDE LTDA EPP,16250,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,CIRURGICA ODONTO VIDA LTDA ME,24750,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5669 - 2016,10/11/2016,6 - Pregão eletrônico,142,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,34899,"aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5669 - 2016,10/11/2016,6 - Pregão eletrônico,142,CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA-EPP,39000,"aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5669 - 2016,10/11/2016,6 - Pregão eletrônico,142,CIRURGICA ZANIN LTDA - EPP,137790.3,"aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5669 - 2016,10/11/2016,6 - Pregão eletrônico,142,VENTTO TECNOLOGIA E SAUDE LTDA EPP,5386.5,"aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5669 - 2016,10/11/2016,6 - Pregão eletrônico,142,WHITE MARTINS GASES INDUSTRIAIS LTDA,330263.32,"aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais hospitalares (estetoscópio, otóscopio, cilindro de gás e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5670 - 2016,21/09/2016,6 - Pregão eletrônico,143,AL COMERCIO DE MATERIAIS DE ESCRITRIO LTDA - ME,16248,"futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5670 - 2016,21/09/2016,6 - Pregão eletrônico,143,DOMINO COMERCIO DE EQUIPAMENTOS - EIRELI - EPP,25840.8,"futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5670 - 2016,21/09/2016,6 - Pregão eletrônico,143,LICIMASTER COMERCIO DE EQUIPAMENTOS LTDA - EIRELI,7022.58,"futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5670 - 2016,21/09/2016,6 - Pregão eletrônico,143,LETTECH IND E COM DE EQUIPAMENTOS DE INFORMATICA LTDA-EPP,6000,"futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5670 - 2016,21/09/2016,6 - Pregão eletrônico,143,PLANO A COMERCIO E SERVICOS LTDA - ME,9080,"futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de eletromésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,PLANO A COMERCIO E SERVICOS LTDA - ME,11414,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,ARTE ORIGINAL LTDA,38289,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,BARACUI COMERCIAL LTDA - ME,1021.9,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,20948.76,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,6111,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5671 - 2016,26/09/2016,6 - Pregão eletrônico,144,AL COMERCIO DE MATERIAIS DE ESCRITRIO LTDA - ME,39200,"futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de materiais diversos, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5672 - 2016,16/11/2016,6 - Pregão eletrônico,145,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,68861.5,"futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5672 - 2016,16/11/2016,6 - Pregão eletrônico,145,VENTTO TECNOLOGIA E SAUDE LTDA EPP,28618.05,"futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5672 - 2016,16/11/2016,6 - Pregão eletrônico,145,CIRURGICA ZANIN LTDA - EPP,167304.96,"futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5672 - 2016,16/11/2016,6 - Pregão eletrônico,145,BETANIAMED COMERCIAL EIRELI - EPP,52882,"futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5672 - 2016,16/11/2016,6 - Pregão eletrônico,145,UNIMARCAS DISTRIBUICAO E COMERCIO EIRELI EPP,36880,"futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de equipamentos hospitalares (lanterna clínica, termômetro digital e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,PLANETA COMERCIAL LTDA - ME,240000,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,CIRURGICA ALIANCA PRODUTOS HOSPITALARES LTDA,75840,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,MARIA DA APARECIDA FARIA SOARES - CPF 572 952 716-00-EPP,45000,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,CRISTIANO COSTA LINO - ME,25950,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,UBER MEDICA E HOSPITALAR LTDA - EPP,180600,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5676 - 2016,21/07/2016,6 - Pregão eletrônico,149,RIOS E CAMBRAIA PRODUTOS DE DIETA LTDA ME,167325,"fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com fornecimento de produtos (fórmula infantil, dieta especial, dieta polimérica pediátrica, suplemento nutricional), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
